run_ts_utc,experiment_name,report,split,model,group_type,group_value,selector_status,edge_threshold,min_probability,min_odds,max_odds,matches,bets,coverage,wins,hit_rate,avg_prob,avg_edge,avg_odds,avg_clv_pct,invested,returned,profit,roi
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,validation,meta,confidence_bucket,45-55%,validation_locked_positive_fold_roi,0.15,0.35,1.01,10.0,1752,23,1.3128,18,78.2609,0.482521,0.168163,2.4239,-13.9743,0.680316,1.299667,0.619351,91.0387
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,test,meta,all,all,validation_locked_positive_fold_roi,0.15,0.35,1.01,10.0,1573,71,4.5137,28,39.4366,0.449395,0.191809,2.7056,0.5962,2.02674,2.175657,0.148917,7.3476
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,test,meta,league,england,validation_locked_positive_fold_roi,0.15,0.35,1.01,10.0,1573,16,1.0172,7,43.75,0.481933,0.197469,2.4925,-10.3208,0.508407,0.624397,0.11599,22.8143
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,test,meta,league,france,validation_locked_positive_fold_roi,0.15,0.35,1.01,10.0,1573,8,0.5086,4,50.0,0.471824,0.186617,2.5484,19.7923,0.239001,0.280682,0.04168,17.4395
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,test,meta,league,germany,validation_locked_positive_fold_roi,0.15,0.35,1.01,10.0,1573,18,1.1443,9,50.0,0.45784,0.182867,2.6298,1.8978,0.516921,0.69473,0.177809,34.3978
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,test,meta,league,italy,validation_locked_positive_fold_roi,0.15,0.35,1.01,10.0,1573,20,1.2715,6,30.0,0.40053,0.210035,3.0461,3.6765,0.515162,0.446476,-0.068686,-13.3329
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,test,meta,league,spain,validation_locked_positive_fold_roi,0.15,0.35,1.01,10.0,1573,9,0.5722,2,22.2222,0.463315,0.163748,2.6191,-6.5069,0.247248,0.129372,-0.117876,-47.6752
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,test,meta,pick,A,validation_locked_positive_fold_roi,0.15,0.35,1.01,10.0,1573,47,2.9879,22,46.8085,0.475788,0.172104,2.4762,-1.8184,1.384903,1.602993,0.21809,15.7477
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,test,meta,pick,D,validation_locked_positive_fold_roi,0.15,0.35,1.01,10.0,1573,23,1.4622,6,26.087,0.383404,0.233877,3.2232,5.023,0.591836,0.572663,-0.019173,-3.2395
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,test,meta,pick,H,validation_locked_positive_fold_roi,0.15,0.35,1.01,10.0,1573,1,0.0636,0,0.0,0.726729,0.150433,1.583,12.2715,0.05,0.0,-0.05,-100.0
