run_ts_utc,experiment_name,model,group_type,group_value,bets,wins,hit_rate,avg_odds,invested,returned,profit,roi
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,meta,league,france,166,37,22.2892,3.9482,2.692767,1.922152,-0.770615,-28.618
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,meta,league,germany,169,51,30.1775,3.7929,2.666225,2.60101,-0.065214,-2.4459
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,meta,league,italy,200,55,27.5,4.2303,2.942311,2.917774,-0.024536,-0.8339
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,meta,league,spain,211,58,27.4882,3.9903,2.980749,3.062521,0.081772,2.7433
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,meta,season,2025-2026,958,267,27.8706,3.984,14.660186,14.324823,-0.335363,-2.2876
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,meta,league_season,england|2025-2026,212,66,31.1321,3.9257,3.378134,3.821365,0.443231,13.1206
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,meta,league_season,france|2025-2026,166,37,22.2892,3.9482,2.692767,1.922152,-0.770615,-28.618
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,meta,league_season,germany|2025-2026,169,51,30.1775,3.7929,2.666225,2.60101,-0.065214,-2.4459
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,meta,league_season,italy|2025-2026,200,55,27.5,4.2303,2.942311,2.917774,-0.024536,-0.8339
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,meta,league_season,spain|2025-2026,211,58,27.4882,3.9903,2.980749,3.062521,0.081772,2.7433
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,logreg,all,all,1192,416,34.8993,3.4368,19.345574,19.217556,-0.128018,-0.6617
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,logreg,league,england,272,93,34.1912,3.3616,4.296392,4.115013,-0.18138,-4.2217
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,logreg,league,france,210,72,34.2857,3.2898,3.405164,3.313532,-0.091631,-2.691
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,logreg,league,germany,200,73,36.5,3.2265,3.053668,3.036284,-0.017384,-0.5693
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,logreg,league,italy,263,100,38.0228,3.7281,4.580937,5.082784,0.501847,10.9551
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,logreg,league,spain,247,78,31.5789,3.5047,4.009413,3.669943,-0.33947,-8.4668
